Dataset,Accuracy
ArrowHead,0.851428571428571
ACSF1,0.92
Adiac,0.854219948849105
AllGestureWiimoteX,0.787142857142857
AllGestureWiimoteY,0.812857142857143
AllGestureWiimoteZ,0.752857142857143
Beef,0.766666666666667
BeetleFly,0.75
BirdChicken,0.9
BME,0.993333333333333
Car,0.916666666666667
CBF,0.998888888888889
Chinatown,0.982507288629738
ChlorineConcentration,0.852864583333333
CinCECGTorso,0.883333333333333
Coffee,1
Computers,0.808
CricketX,0.825641025641026
CricketY,0.861538461538462
CricketZ,0.864102564102564
Crop,0.766428571428571
DiatomSizeReduction,0.941176470588235
DistalPhalanxOutlineAgeGroup,0.726618705035971
DistalPhalanxOutlineCorrect,0.778985507246377
DistalPhalanxTW,0.712230215827338
DodgerLoopDay,0.575
DodgerLoopGame,0.840579710144927
DodgerLoopWeekend,0.971014492753623
Earthquakes,0.726618705035971
ECG200,0.92
ECG5000,0.944222222222222
ECGFiveDays,1
ElectricDevices,0.705096615225003
EOGHorizontalSignal,0.638121546961326
EOGVerticalSignal,0.453038674033149
EthanolLevel,0.762
FaceAll,0.820118343195266
FaceFour,0.954545454545455
FacesUCR,0.968292682926829
FiftyWords,0.8
Fish,0.982857142857143
FordA,0.959848484848485
FordB,0.855555555555556
FreezerRegularTrain,0.99859649122807
FreezerSmallTrain,0.905614035087719
Fungi,1
GestureMidAirD1,0.738461538461539
GestureMidAirD2,0.684615384615385
GestureMidAirD3,0.438461538461538
GesturePebbleZ1,0.924418604651163
GesturePebbleZ2,0.905063291139241
GunPoint,1
GunPointAgeSpan,0.993670886075949
GunPointMaleVersusFemale,0.996835443037975
GunPointOldVersusYoung,0.977777777777778
Ham,0.723809523809524
HandOutlines,0.956756756756757
Haptics,0.564935064935065
Herring,0.71875
HouseTwenty,0.983193277310924
InlineSkate,0.556363636363636
InsectEPGRegularTrain,1
InsectEPGSmallTrain,0.967871485943775
InsectWingbeatSound,0.652020202020202
ItalyPowerDemand,0.968901846452867
LargeKitchenAppliances,0.896
Lightning2,0.786885245901639
Lightning7,0.863013698630137
Mallat,0.967590618336887
Meat,0.916666666666667
MedicalImages,0.785526315789474
MelbournePedestrian,0.910619106191062
MiddlePhalanxOutlineCorrect,0.831615120274914
MiddlePhalanxOutlineAgeGroup,0.551948051948052
MiddlePhalanxTW,0.519480519480519
MixedShapesRegularTrain,0.979381443298969
MixedShapesSmallTrain,0.937319587628866
MoteStrain,0.884185303514377
NonInvasiveFetalECGThorax1,0.964885496183206
NonInvasiveFetalECGThorax2,0.964376590330789
OliveOil,0.866666666666667
OSULeaf,0.946280991735537
PhalangesOutlinesCorrect,0.851981351981352
Phoneme,0.322784810126582
PickupGestureWiimoteZ,0.78
PigAirwayPressure,0.543269230769231
PigArtPressure,0.995192307692308
PigCVP,0.956730769230769
PLAID,0.918063314711359
Plane,1
PowerCons,0.966666666666667
ProximalPhalanxOutlineCorrect,0.924398625429553
ProximalPhalanxOutlineAgeGroup,0.839024390243902
ProximalPhalanxTW,0.780487804878049
RefrigerationDevices,0.504
Rock,0.86
ScreenType,0.56
SemgHandGenderCh2,0.88
SemgHandMovementCh2,0.502222222222222
SemgHandSubjectCh2,0.831111111111111
ShakeGestureWiimoteZ,0.94
ShapeletSim,0.955555555555556
ShapesAll,0.916666666666667
SmallKitchenAppliances,0.776
SmoothSubspace,0.986666666666667
SonyAIBORobotSurface1,0.886855241264559
SonyAIBORobotSurface2,0.945435466946485
StarLightCurves,0.978144730451676
Strawberry,0.981081081081081
SwedishLeaf,0.9664
Symbols,0.976884422110553
SyntheticControl,0.996666666666667
ToeSegmentation1,0.956140350877193
ToeSegmentation2,0.938461538461538
Trace,1
TwoLeadECG,0.997366110623354
TwoPatterns,1
UMD,0.979166666666667
UWaveGestureLibraryAll,0.927973199329983
UWaveGestureLibraryX,0.827470686767169
UWaveGestureLibraryY,0.764935790061418
UWaveGestureLibraryZ,0.776940256839754
Wafer,0.998864373783258
Wine,0.759259259259259
WordSynonyms,0.730407523510972
Worms,0.818181818181818
WormsTwoClass,0.792207792207792
Yoga,0.911666666666667
