Dataset,Accuracy,F1 Score,Precision,Recall
ArrowHead,0.8628571428571429,0.8596080940850916,0.8782416705926178,0.8628571428571429
ACSF1,0.88,0.8814726209463052,0.8888888888888888,0.88
Adiac,0.8286445012787724,0.8241204532081267,0.8496546860357602,0.8286445012787724
AllGestureWiimoteX,0.77,0.7662946441004183,0.7649777227379406,0.77
AllGestureWiimoteY,0.7985714285714286,0.7978221786668689,0.7995057200550136,0.7985714285714286
AllGestureWiimoteZ,0.7485714285714286,0.7481232828647197,0.7561047137311688,0.7485714285714286
Beef,0.6666666666666666,0.6619047619047619,0.7333333333333333,0.6666666666666666
BeetleFly,0.7,0.6703296703296703,0.8125,0.7
BirdChicken,0.9,0.898989898989899,0.9166666666666667,0.9
BME,0.9933333333333333,0.9933326665999933,0.9934640522875816,0.9933333333333333
Car,0.9333333333333333,0.9322222222222223,0.935064935064935,0.9333333333333333
CBF,0.9988888888888889,0.9988888796908224,0.9988925559222589,0.9988888888888889
Chinatown,0.9825072886297376,0.9826711316014606,0.9835568513119534,0.9825072886297376
ChlorineConcentration,0.8484375,0.8454044191589607,0.8467056330220298,0.8484375
CinCECGTorso,0.8739130434782608,0.8734417601440535,0.8763868596218236,0.8739130434782608
Coffee,1.0,1.0,1.0,1.0
Computers,0.776,0.7757703888782111,0.7771351455561981,0.776
CricketX,0.8102564102564103,0.8070145139708426,0.8208376667610107,0.8102564102564103
CricketY,0.8538461538461538,0.8543245046842605,0.8596355940086097,0.8538461538461538
CricketZ,0.8487179487179487,0.8484709120747701,0.8502766745887982,0.8487179487179487
Crop,0.7545833333333334,0.7523128426908827,0.7512134038720236,0.7545833333333334
DiatomSizeReduction,0.9509803921568627,0.9510244939520046,0.9566770400354002,0.9509803921568627
DistalPhalanxOutlineAgeGroup,0.7194244604316546,0.7193159265690896,0.7199590173062789,0.7194244604316546
DistalPhalanxOutlineCorrect,0.7572463768115942,0.7536457684158044,0.756067033554995,0.7572463768115942
DistalPhalanxTW,0.6762589928057554,0.6544212966175317,0.645153513174975,0.6762589928057554
DodgerLoopDay,0.5375,0.5094851551956815,0.49014524078862315,0.5375
DodgerLoopGame,0.8405797101449275,0.8406467357029915,0.8410668615272195,0.8405797101449275
DodgerLoopWeekend,0.9637681159420289,0.9644893013912021,0.9681866383881231,0.9637681159420289
Earthquakes,0.7266187050359713,0.6839328537170265,0.6739382687398467,0.7266187050359713
ECG200,0.93,0.9302038615036133,0.9306048906048906,0.93
ECG5000,0.9428888888888889,0.9384026192550793,0.9361478334871256,0.9428888888888889
ECGFiveDays,1.0,1.0,1.0,1.0
ElectricDevices,0.6888860070029827,0.6764891064054712,0.7010240517070746,0.6888860070029827
EOGHorizontalSignal,0.6187845303867403,0.6261455891587586,0.6781612038370128,0.6187845303867403
EOGVerticalSignal,0.46685082872928174,0.4691044535034222,0.4948836844555077,0.46685082872928174
EthanolLevel,0.656,0.6328483793337624,0.6857783727952141,0.656
FaceAll,0.8881656804733727,0.8905228658015164,0.9311310080186731,0.8881656804733727
FaceFour,0.8522727272727273,0.8469236971454266,0.8861024033437827,0.8522727272727273
FacesUCR,0.9653658536585366,0.9646895300234899,0.9662062220758856,0.9653658536585366
FiftyWords,0.7978021978021979,0.7830676924683266,0.8021015236308844,0.7978021978021979
Fish,0.9828571428571429,0.9828582720882306,0.9832967032967034,0.9828571428571429
FordA,0.9598484848484848,0.9598527513034204,0.959884576126215,0.9598484848484848
FordB,0.8481481481481481,0.8481516199734391,0.8481783605289921,0.8481481481481481
FreezerRegularTrain,0.9982456140350877,0.9982456120911676,0.9982478223356852,0.9982456140350877
FreezerSmallTrain,0.860701754385965,0.8606571337894722,0.8611643649187583,0.860701754385965
Fungi,1.0,1.0,1.0,1.0
GestureMidAirD1,0.7384615384615385,0.7364441114441114,0.7741147741147741,0.7384615384615385
GestureMidAirD2,0.6615384615384615,0.6336684682838529,0.6647588522588523,0.6615384615384615
GestureMidAirD3,0.4076923076923077,0.39049006549006543,0.42319902319902314,0.4076923076923077
GesturePebbleZ1,0.9244186046511628,0.9243650963638568,0.9394771716826266,0.9244186046511628
GesturePebbleZ2,0.9050632911392406,0.9047329004202972,0.9061440205530147,0.9050632911392406
GunPoint,1.0,1.0,1.0,1.0
GunPointAgeSpan,0.990506329113924,0.9905066143604778,0.9905267390674908,0.990506329113924
GunPointMaleVersusFemale,0.9968354430379747,0.9968359194795887,0.9968564003688489,0.9968354430379747
GunPointOldVersusYoung,0.9714285714285714,0.9713996602941708,0.9718632280498407,0.9714285714285714
Ham,0.6952380952380952,0.6927785347447857,0.6985532097310041,0.6952380952380952
HandOutlines,0.9486486486486486,0.9481234053944788,0.9494720725484872,0.9486486486486486
Haptics,0.5064935064935064,0.4991385531874878,0.5385011891928888,0.5064935064935064
Herring,0.625,0.6279761904761905,0.6357843137254902,0.625
HouseTwenty,0.9831932773109243,0.9831418281598353,0.9836667061190674,0.9831932773109243
