Dataset,Accuracy
ArrowHead,0.84
ACSF1,0.92
Adiac,0.8439897698209718
AllGestureWiimoteX,0.7842857142857143
AllGestureWiimoteY,0.8057142857142857
AllGestureWiimoteZ,0.75
Beef,0.7333333333333333
BeetleFly,0.85
BirdChicken,0.9
BME,0.9933333333333333
Car,0.95
CBF,0.9988888888888889
Chinatown,0.9825072886297376
ChlorineConcentration,0.8515625
CinCECGTorso,0.8724637681159421
Coffee,1.0
Computers,0.816
CricketX,0.8358974358974359
CricketY,0.8589743589743589
CricketZ,0.8615384615384616
Crop,0.7667857142857143
DiatomSizeReduction,0.9509803921568627
DistalPhalanxOutlineAgeGroup,0.7194244604316546
DistalPhalanxOutlineCorrect,0.7753623188405797
DistalPhalanxTW,0.697841726618705
DodgerLoopDay,0.575
DodgerLoopGame,0.8115942028985508
DodgerLoopWeekend,0.9710144927536232
Earthquakes,0.7266187050359713
ECG200,0.92
ECG5000,0.942
ECGFiveDays,0.9953542392566783
ElectricDevices,0.7095059006613929
EOGHorizontalSignal,0.6132596685082873
EOGVerticalSignal,0.4171270718232044
EthanolLevel,0.758
FaceAll,0.7952662721893491
FaceFour,0.9545454545454546
FacesUCR,0.964390243902439
FiftyWords,0.810989010989011
Fish,0.9828571428571429
FordA,0.9575757575757575
FordB,0.8580246913580247
FreezerRegularTrain,0.9975438596491228
FreezerSmallTrain,0.9557894736842105
Fungi,1.0
GestureMidAirD1,0.7461538461538462
GestureMidAirD2,0.7153846153846154
GestureMidAirD3,0.4153846153846154
GesturePebbleZ1,0.9127906976744186
GesturePebbleZ2,0.9050632911392406
GunPoint,1.0
GunPointAgeSpan,0.990506329113924
GunPointMaleVersusFemale,0.9936708860759493
GunPointOldVersusYoung,0.9777777777777777
Ham,0.7333333333333333
HandOutlines,0.9594594594594594
Haptics,0.5746753246753247
Herring,0.703125
HouseTwenty,0.9831932773109243
InlineSkate,0.5454545454545454
InsectEPGRegularTrain,0.9959839357429718
InsectEPGSmallTrain,0.9678714859437751
InsectWingbeatSound,0.6404040404040404
ItalyPowerDemand,0.9640427599611273
LargeKitchenAppliances,0.888
Lightning2,0.7704918032786885
Lightning7,0.8356164383561644
Mallat,0.962046908315565
Meat,0.9333333333333333
MedicalImages,0.7894736842105263
MelbournePedestrian,0.9089790897908979
MiddlePhalanxOutlineCorrect,0.8316151202749141
MiddlePhalanxOutlineAgeGroup,0.5064935064935064
MiddlePhalanxTW,0.512987012987013
MixedShapesRegularTrain,0.9814432989690721
MixedShapesSmallTrain,0.9418556701030928
MoteStrain,0.8809904153354633
NonInvasiveFetalECGThorax1,0.9597964376590331
NonInvasiveFetalECGThorax2,0.966412213740458
OliveOil,0.8
OSULeaf,0.9462809917355371
PhalangesOutlinesCorrect,0.8461538461538461
Phoneme,0.3380801687763713
PickupGestureWiimoteZ,0.78
PigAirwayPressure,0.5240384615384616
PigArtPressure,0.9951923076923077
PigCVP,0.9615384615384616
PLAID,0.9180633147113594
Plane,1.0
PowerCons,0.95
ProximalPhalanxOutlineCorrect,0.9278350515463918
ProximalPhalanxOutlineAgeGroup,0.848780487804878
ProximalPhalanxTW,0.7902439024390244
RefrigerationDevices,0.512
Rock,0.84
ScreenType,0.5893333333333334
SemgHandGenderCh2,0.8666666666666667
SemgHandMovementCh2,0.5333333333333333
SemgHandSubjectCh2,0.7888888888888889
ShakeGestureWiimoteZ,0.96
ShapeletSim,0.7611111111111111
ShapesAll,0.915
SmallKitchenAppliances,0.7626666666666667
SmoothSubspace,0.9866666666666667
SonyAIBORobotSurface1,0.8386023294509152
SonyAIBORobotSurface2,0.9422875131164743
StarLightCurves,0.9770519669742593
Strawberry,0.981081081081081
SwedishLeaf,0.9616
Symbols,0.9829145728643216
SyntheticControl,1.0
ToeSegmentation1,0.9736842105263158
ToeSegmentation2,0.9384615384615385
Trace,1.0
TwoLeadECG,0.9982440737489026
TwoPatterns,1.0
UMD,0.9652777777777778
UWaveGestureLibraryAll,0.9168062534896706
UWaveGestureLibraryX,0.8333333333333334
UWaveGestureLibraryY,0.7677275265214963
UWaveGestureLibraryZ,0.7864321608040201
Wafer,0.9990266060999351
Wine,0.6666666666666666
WordSynonyms,0.725705329153605
Worms,0.8181818181818182
WormsTwoClass,0.8181818181818182
Yoga,0.919
