Dataset,Accuracy
ArrowHead,0.836571428571429
ACSF1,0.9
Adiac,0.821483375959079
AllGestureWiimoteX,0.765714285714286
AllGestureWiimoteY,0.797142857142857
AllGestureWiimoteZ,0.743142857142857
Beef,0.726666666666667
BeetleFly,0.74
BirdChicken,0.85
BME,0.989333333333333
Car,0.933333333333333
CBF,0.998
Chinatown,0.98134110787172
ChlorineConcentration,0.848958333333333
CinCECGTorso,0.84463768115942
Coffee,1
Computers,0.796
CricketX,0.812820512820513
CricketY,0.844615384615385
CricketZ,0.845641025641026
Crop,0.736178571428571
DiatomSizeReduction,0.950980392156863
DistalPhalanxOutlineAgeGroup,0.720863309352518
DistalPhalanxOutlineCorrect,0.767391304347826
DistalPhalanxTW,0.676258992805755
DodgerLoopDay,0.5425
DodgerLoopGame,0.843478260869565
DodgerLoopWeekend,0.968115942028986
Earthquakes,0.720863309352518
ECG200,0.908
ECG5000,0.9416
ECGFiveDays,0.999535423925668
ElectricDevices,0.691479704318506
EOGHorizontalSignal,0.616022099447514
EOGVerticalSignal,0.43646408839779
EthanolLevel,0.6156
FaceAll,0.83207100591716
FaceFour,0.911363636363636
FacesUCR,0.962048780487805
FiftyWords,0.789010989010989
Fish,0.980571428571429
FordA,0.957121212121212
FordB,0.850864197530864
FreezerRegularTrain,0.998035087719298
FreezerSmallTrain,0.905684210526316
Fungi,1
GestureMidAirD1,0.723076923076923
GestureMidAirD2,0.663076923076923
GestureMidAirD3,0.404615384615385
GesturePebbleZ1,0.919767441860465
GesturePebbleZ2,0.90253164556962
GunPoint,0.998666666666666
GunPointAgeSpan,0.991139240506329
GunPointMaleVersusFemale,0.994936708860759
GunPointOldVersusYoung,0.976507936507936
Ham,0.723809523809524
HandOutlines,0.944864864864865
Haptics,0.525974025974026
Herring,0.665625
HouseTwenty,0.983193277310924
InlineSkate,0.524363636363636
InsectEPGRegularTrain,1
InsectEPGSmallTrain,0.942168674698795
InsectWingbeatSound,0.633939393939394
ItalyPowerDemand,0.969096209912536
LargeKitchenAppliances,0.891733333333333
Lightning2,0.79672131147541
Lightning7,0.838356164383562
Mallat,0.964264392324094
Meat,0.93
MedicalImages,0.763421052631579
MelbournePedestrian,0.903977039770398
MiddlePhalanxOutlineCorrect,0.819243986254295
MiddlePhalanxOutlineAgeGroup,0.532467532467533
MiddlePhalanxTW,0.522077922077922
MixedShapesRegularTrain,0.976082474226804
MixedShapesSmallTrain,0.932618556701031
MoteStrain,0.876038338658147
NonInvasiveFetalECGThorax1,0.959898218829517
NonInvasiveFetalECGThorax2,0.95735368956743
OliveOil,0.846666666666667
OSULeaf,0.937190082644628
PhalangesOutlinesCorrect,0.829370629370629
Phoneme,0.306329113924051
PickupGestureWiimoteZ,0.792
PigAirwayPressure,0.473076923076923
PigArtPressure,0.986538461538462
PigCVP,0.942307692307692
PLAID,0.906145251396648
Plane,1
PowerCons,0.953333333333333
ProximalPhalanxOutlineCorrect,0.916838487972509
ProximalPhalanxOutlineAgeGroup,0.845853658536585
ProximalPhalanxTW,0.782439024390244
RefrigerationDevices,0.508266666666667
Rock,0.848
ScreenType,0.570133333333333
SemgHandGenderCh2,0.871333333333334
SemgHandMovementCh2,0.460444444444445
SemgHandSubjectCh2,0.800444444444445
ShakeGestureWiimoteZ,0.924
ShapeletSim,0.951111111111111
ShapesAll,0.905
SmallKitchenAppliances,0.771733333333333
SmoothSubspace,0.982666666666666
SonyAIBORobotSurface1,0.891514143094842
SonyAIBORobotSurface2,0.85414480587618
StarLightCurves,0.976396308887809
Strawberry,0.975675675675676
SwedishLeaf,0.96352
Symbols,0.970452261306532
SyntheticControl,0.998
ToeSegmentation1,0.960526315789474
ToeSegmentation2,0.936923076923077
Trace,1
TwoLeadECG,0.996839332748025
TwoPatterns,1
UMD,0.979166666666667
UWaveGestureLibraryAll,0.918090452261307
UWaveGestureLibraryX,0.814740368509213
UWaveGestureLibraryY,0.735845896147404
UWaveGestureLibraryZ,0.76286990508096
Wafer,0.998734587929916
Wine,0.725925925925926
WordSynonyms,0.702194357366771
Worms,0.805194805194805
WormsTwoClass,0.797402597402597
Yoga,0.904533333333333
