Dataset,Accuracy
ArrowHead,0.8365714285714286
ACSF1,0.9040000000000001
Adiac,0.8342710997442456
AllGestureWiimoteX,0.76
AllGestureWiimoteY,0.7825714285714286
AllGestureWiimoteZ,0.7294285714285714
Beef,0.6666666666666666
BeetleFly,0.86
BirdChicken,0.8699999999999999
BME,0.9773333333333334
Car,0.9066666666666666
CBF,0.9946666666666667
Chinatown,0.9795918367346939
ChlorineConcentration,0.84453125
CinCECGTorso,0.8491304347826085
Coffee,1.0
Computers,0.8039999999999999
CricketX,0.8189743589743591
CricketY,0.8251282051282051
CricketZ,0.8343589743589742
Crop,0.7180000000000001
DiatomSizeReduction,0.9607843137254901
DistalPhalanxOutlineAgeGroup,0.7294964028776978
DistalPhalanxOutlineCorrect,0.7615942028985507
DistalPhalanxTW,0.6820143884892087
DodgerLoopDay,0.5375
DodgerLoopGame,0.7898550724637682
DodgerLoopWeekend,0.9608695652173912
Earthquakes,0.6964028776978417
ECG200,0.8959999999999999
ECG5000,0.9379111111111111
ECGFiveDays,0.9951219512195122
ElectricDevices,0.6790818311503047
EOGHorizontalSignal,0.5972375690607735
EOGVerticalSignal,0.39281767955801106
EthanolLevel,0.7396
FaceAll,0.8985798816568048
FaceFour,0.9340909090909092
FacesUCR,0.9536585365853657
FiftyWords,0.7762637362637361
Fish,0.9782857142857143
FordA,0.9475757575757576
FordB,0.8466666666666667
FreezerRegularTrain,0.996982456140351
FreezerSmallTrain,0.9377543859649122
Fungi,0.9881720430107528
GestureMidAirD1,0.7092307692307693
GestureMidAirD2,0.6753846153846154
GestureMidAirD3,0.3769230769230769
GesturePebbleZ1,0.9069767441860466
GesturePebbleZ2,0.8860759493670887
GunPoint,0.9973333333333333
GunPointAgeSpan,0.9924050632911392
GunPointMaleVersusFemale,0.9930379746835442
GunPointOldVersusYoung,0.9777777777777776
Ham,0.7485714285714286
HandOutlines,0.9437837837837838
Haptics,0.5318181818181819
Herring,0.7
HouseTwenty,0.9781512605042015
InlineSkate,0.5389090909090909
InsectEPGRegularTrain,0.9903614457831325
InsectEPGSmallTrain,0.8923694779116467
InsectWingbeatSound,0.6
ItalyPowerDemand,0.9673469387755101
LargeKitchenAppliances,0.8816
Lightning2,0.8262295081967214
Lightning7,0.8493150684931507
Mallat,0.9475479744136461
Meat,0.9266666666666667
MedicalImages,0.7494736842105263
MelbournePedestrian,0.8985649856498565
MiddlePhalanxOutlineCorrect,0.8116838487972509
MiddlePhalanxOutlineAgeGroup,0.5155844155844156
MiddlePhalanxTW,0.5129870129870129
MixedShapesRegularTrain,0.9757525773195876
MixedShapesSmallTrain,0.9323711340206187
MoteStrain,0.8733226837060701
NonInvasiveFetalECGThorax1,0.95206106870229
NonInvasiveFetalECGThorax2,0.9530788804071246
OliveOil,0.78
OSULeaf,0.947107438016529
PhalangesOutlinesCorrect,0.8195804195804197
Phoneme,0.3135021097046414
PickupGestureWiimoteZ,0.744
PigAirwayPressure,0.4634615384615385
PigArtPressure,0.9692307692307691
PigCVP,0.8932692307692307
PLAID,0.8931098696461826
Plane,1.0
PowerCons,0.9488888888888889
ProximalPhalanxOutlineCorrect,0.9072164948453608
ProximalPhalanxOutlineAgeGroup,0.8302439024390245
ProximalPhalanxTW,0.7697560975609756
RefrigerationDevices,0.5050666666666668
Rock,0.852
ScreenType,0.5701333333333334
SemgHandGenderCh2,0.8476666666666667
SemgHandMovementCh2,0.4906666666666667
SemgHandSubjectCh2,0.7835555555555556
ShakeGestureWiimoteZ,0.9039999999999999
ShapeletSim,0.8455555555555554
ShapesAll,0.8939999999999999
SmallKitchenAppliances,0.7749333333333335
SmoothSubspace,0.9826666666666666
SonyAIBORobotSurface1,0.8735440931780365
SonyAIBORobotSurface2,0.7855194123819518
StarLightCurves,0.9747935891209325
Strawberry,0.9762162162162162
SwedishLeaf,0.9551999999999999
Symbols,0.978894472361809
SyntheticControl,0.9993333333333332
ToeSegmentation1,0.9587719298245613
ToeSegmentation2,0.9276923076923078
Trace,1.0
TwoLeadECG,0.9905179982440737
TwoPatterns,1.0
UMD,0.9680555555555556
UWaveGestureLibraryAll,0.8985482970407593
UWaveGestureLibraryX,0.8056951423785594
UWaveGestureLibraryY,0.7237297599106645
UWaveGestureLibraryZ,0.7505862646566165
Wafer,0.9988643737832577
Wine,0.7481481481481481
WordSynonyms,0.6855799373040752
Worms,0.7974025974025974
WormsTwoClass,0.8181818181818183
Yoga,0.9044000000000001
