Dataset,Accuracy
ArrowHead,0.8262857079505921
ACSF1,0.8699999928474427
Adiac,0.7882352948188782
AllGestureWiimoteX,0.7345714330673218
AllGestureWiimoteY,0.7708571434020997
AllGestureWiimoteZ,0.7111428499221801
Beef,0.6933333396911621
BeetleFly,0.6899999856948853
BirdChicken,0.8999999761581421
BME,0.9933333396911621
Car,0.899999988079071
CBF,0.99288889169693
Chinatown,0.9790087580680847
ChlorineConcentration,0.8428645849227905
CinCECGTorso,0.8411594152450561
Coffee,1.0
Computers,0.7711999893188477
CricketX,0.7835897445678711
CricketY,0.8128205180168152
CricketZ,0.8153846144676209
Crop,0.7147857189178467
DiatomSizeReduction,0.9490195989608765
DistalPhalanxOutlineAgeGroup,0.7223021745681762
DistalPhalanxOutlineCorrect,0.7637681126594543
DistalPhalanxTW,0.6748201370239257
DodgerLoopDay,0.46249998807907106
DodgerLoopGame,0.8420289754867554
DodgerLoopWeekend,0.9492753744125366
Earthquakes,0.7050359845161438
ECG200,0.9060000061988831
ECG5000,0.9405333399772644
ECGFiveDays,0.999303138256073
ElectricDevices,0.6616521835327148
EOGHorizontalSignal,0.5917127013206482
EOGVerticalSignal,0.4381215512752533
EthanolLevel,0.5231999933719635
FaceAll,0.8665088772773742
FaceFour,0.8477272748947143
FacesUCR,0.9556097388267517
FiftyWords,0.7556044101715088
Fish,0.9748571515083313
FordA,0.9518181681632996
FordB,0.8365432024002075
FreezerRegularTrain,0.9976842164993286
FreezerSmallTrain,0.8593684196472168
Fungi,1.0
GestureMidAirD1,0.6984615325927734
GestureMidAirD2,0.6261538505554199
GestureMidAirD3,0.3800000071525574
GesturePebbleZ1,0.9162790894508361
GesturePebbleZ2,0.8898734211921692
GunPoint,0.9973333358764649
GunPointAgeSpan,0.9911392450332641
GunPointMaleVersusFemale,0.996835458278656
GunPointOldVersusYoung,0.9688888907432556
Ham,0.7123809695243836
HandOutlines,0.9291891932487488
Haptics,0.4896103858947754
Herring,0.64375
HouseTwenty,0.9848739504814148
InlineSkate,0.49709091186523435
InsectEPGRegularTrain,0.9991967916488648
InsectEPGSmallTrain,0.9244979858398438
InsectWingbeatSound,0.6161616206169128
ItalyPowerDemand,0.9677356839179992
LargeKitchenAppliances,0.900266683101654
Lightning2,0.8131147503852845
Lightning7,0.8246575355529785
Mallat,0.9565031886100769
Meat,0.9333333134651184
MedicalImages,0.7336842060089112
MelbournePedestrian,0.8965149641036987
MiddlePhalanxOutlineCorrect,0.8034364342689514
MiddlePhalanxOutlineAgeGroup,0.532467532157898
MiddlePhalanxTW,0.5129870176315308
MixedShapesRegularTrain,0.9672577261924744
MixedShapesSmallTrain,0.906061851978302
MoteStrain,0.8658146977424621
NonInvasiveFetalECGThorax1,0.9521628618240356
NonInvasiveFetalECGThorax2,0.9449363946914673
OliveOil,0.8799999833106995
OSULeaf,0.9190082788467407
PhalangesOutlinesCorrect,0.8193473100662232
Phoneme,0.2645569652318954
PickupGestureWiimoteZ,0.7839999914169311
PigAirwayPressure,0.42307692766189575
PigArtPressure,0.9701923131942749
PigCVP,0.8817307710647583
PLAID,0.88379887342453
Plane,1.0
PowerCons,0.955555534362793
ProximalPhalanxOutlineCorrect,0.907216477394104
ProximalPhalanxOutlineAgeGroup,0.8321951031684875
ProximalPhalanxTW,0.7795121908187866
RefrigerationDevices,0.49600000977516173
Rock,0.8119999885559082
ScreenType,0.5493333339691162
SemgHandGenderCh2,0.8509999990463257
SemgHandMovementCh2,0.40177778005599973
SemgHandSubjectCh2,0.7902222275733948
ShakeGestureWiimoteZ,0.8800000071525573
ShapeletSim,0.9622222185134888
ShapesAll,0.8859999895095825
SmallKitchenAppliances,0.7594666719436646
SmoothSubspace,0.9586666584014892
SonyAIBORobotSurface1,0.922462546825409
SonyAIBORobotSurface2,0.8318992614746094
StarLightCurves,0.9742836236953736
Strawberry,0.9756756901741028
SwedishLeaf,0.9491199970245361
Symbols,0.9616080403327942
SyntheticControl,0.9973333358764649
ToeSegmentation1,0.9552631497383117
ToeSegmentation2,0.9338461399078369
Trace,1.0
TwoLeadECG,0.9961369633674622
TwoPatterns,0.9999500036239624
UMD,0.9708333253860474
UWaveGestureLibraryAll,0.9043550968170166
UWaveGestureLibraryX,0.7945281982421875
UWaveGestureLibraryY,0.7062534809112548
UWaveGestureLibraryZ,0.7402568340301514
Wafer,0.9980856657028199
Wine,0.7666666746139527
WordSynonyms,0.672100305557251
Worms,0.7402597308158875
WormsTwoClass,0.7480519413948059
Yoga,0.8856000065803528
