"Dataset","Mean Acc. Pairs without Catch22","Mean Acc. Pairs w Catch22","TinyCOCALITE","TinyCOCALITETime","TinyCOCALITETime-4","TinyCOCALITETime-3","TinyCOCALITETime-2","LITETime","LITE-Catch22-Time","LITE","LITE-Catch22"
"ArrowHead",0.806285714285714,0.812571428571429,0.820571428571429,0.828571428571429,0.830857142857143,0.826285714285714,0.825714285714286,0.822857142857143,0.828571428571429,0.798857142857143,0.801142857142857
"ACSF1",0.89,0.875,0.89,0.9,0.898,0.899,0.899,0.9,0.89,0.872,0.866
"Adiac",0.814833759590793,0.816879795396419,0.822506393861893,0.838874680306905,0.836317135549872,0.835805626598465,0.830690537084399,0.836317135549872,0.831202046035806,0.78925831202046,0.78925831202046
"AllGestureWiimoteX",0.746857142857143,0.732142857142857,0.739142857142857,0.782857142857143,0.773714285714286,0.767142857142857,0.756714285714286,0.768571428571429,0.764285714285714,0.719714285714286,0.703428571428571
"AllGestureWiimoteY",0.783428571428571,0.769428571428571,0.777142857142857,0.801428571428571,0.799428571428571,0.798285714285714,0.796142857142857,0.801428571428571,0.79,0.758857142857143,0.749428571428571
"AllGestureWiimoteZ",0.728571428571429,0.710428571428571,0.719428571428572,0.761428571428571,0.757714285714286,0.754428571428571,0.746142857142857,0.755714285714286,0.75,0.694857142857143,0.67
"Beef",0.763333333333333,0.746666666666667,0.76,0.766666666666667,0.76,0.766666666666667,0.76,0.766666666666667,0.7,0.74,0.76
"BeetleFly",0.895,0.8,0.82,0.9,0.88,0.885,0.85,0.9,0.8,0.88,0.81
"BirdChicken",0.93,0.87,0.89,0.9,0.9,0.9,0.9,0.9,0.85,0.92,0.87
"BME",0.954,0.989333333333333,0.977333333333333,0.986666666666667,0.982666666666666,0.982,0.980666666666667,0.96,1,0.948,0.977333333333333
"Car",0.918333333333333,0.941666666666667,0.933333333333333,0.95,0.95,0.948333333333333,0.941666666666667,0.916666666666667,0.916666666666667,0.906666666666667,0.926666666666666
"CBF",0.997777777777778,0.988,0.995777777777778,0.997777777777778,0.997333333333333,0.996888888888889,0.996777777777778,0.998888888888889,0.992222222222222,0.995777777777778,0.978666666666667
"Chinatown",0.98134110787172,0.976384839650146,0.979591836734694,0.982507288629738,0.98134110787172,0.981049562682216,0.98134110787172,0.985422740524781,0.979591836734694,0.980174927113703,0.974927113702624
"ChlorineConcentration",0.832942708333333,0.842291666666667,0.837239583333333,0.8453125,0.844375,0.844401041666667,0.843541666666667,0.839322916666667,0.849479166666667,0.82328125,0.83203125
"CinCECGTorso",0.867101449275362,0.87231884057971,0.880289855072464,0.894202898550725,0.89304347826087,0.891594202898551,0.889927536231884,0.872463768115942,0.88695652173913,0.858405797101449,0.850724637681159
"Coffee",1,1,1,1,1,1,1,1,1,1,1
"Computers",0.8032,0.7896,0.8,0.796,0.8008,0.8012,0.8024,0.816,0.792,0.8008,0.776
"CricketX",0.79948717948718,0.790512820512821,0.8,0.828205128205128,0.823076923076923,0.818974358974359,0.814102564102564,0.815384615384615,0.812820512820513,0.774358974358974,0.767179487179487
"CricketY",0.827948717948718,0.817692307692308,0.824102564102564,0.841025641025641,0.849230769230769,0.847435897435897,0.843333333333333,0.833333333333333,0.838461538461539,0.798974358974359,0.787692307692308
"CricketZ",0.844102564102564,0.815128205128205,0.828717948717949,0.851282051282051,0.857435897435897,0.858974358974359,0.851025641025641,0.866666666666667,0.838461538461539,0.822051282051282,0.783589743589744
"Crop",0.716089285714286,0.711696428571429,0.713178571428571,0.756964285714286,0.754583333333333,0.748607142857143,0.739130952380952,0.745595238095238,0.740714285714286,0.690952380952381,0.687619047619048
"DiatomSizeReduction",0.943464052287582,0.954575163398693,0.952941176470588,0.941176470588235,0.942483660130719,0.944444444444444,0.95,0.937908496732026,0.954248366013072,0.944444444444444,0.949673202614379
"DistalPhalanxOutlineAgeGroup",0.718705035971223,0.750359712230216,0.726618705035971,0.733812949640288,0.739568345323741,0.733093525179856,0.73021582733813,0.726618705035971,0.712230215827338,0.710791366906475,0.719424460431655
"DistalPhalanxOutlineCorrect",0.769927536231884,0.769927536231884,0.772463768115942,0.782608695652174,0.778260869565217,0.777536231884058,0.773550724637681,0.760869565217391,0.77536231884058,0.755797101449275,0.761594202898551
"DistalPhalanxTW",0.699280575539568,0.676258992805755,0.683453237410072,0.705035971223021,0.697841726618705,0.69568345323741,0.694244604316547,0.712230215827338,0.676258992805755,0.693525179856115,0.666187050359712
"DodgerLoopDay",0.52375,0.48875,0.49,0.5625,0.5425,0.53125,0.53125,0.5625,0.475,0.5,0.44
"DodgerLoopGame",0.800724637681159,0.848550724637681,0.844927536231884,0.833333333333333,0.831884057971015,0.831159420289855,0.833333333333333,0.782608695652174,0.847826086956522,0.792753623188406,0.830434782608696
"DodgerLoopWeekend",0.971014492753623,0.976086956521739,0.973913043478261,0.971014492753623,0.972463768115942,0.972463768115942,0.972463768115942,0.971014492753623,0.971014492753623,0.966666666666666,0.963768115942029
"Earthquakes",0.746762589928058,0.725179856115108,0.738129496402878,0.741007194244604,0.749640287769784,0.756834532374101,0.755395683453237,0.762589928057554,0.726618705035971,0.736690647482014,0.713669064748201
"ECG200",0.903,0.891,0.892,0.91,0.906,0.904,0.9,0.92,0.87,0.888,0.892
"ECG5000",0.944288888888889,0.941911111111111,0.943377777777778,0.944222222222222,0.945244444444444,0.944933333333333,0.944666666666667,0.945777777777778,0.943555555555556,0.941511111111111,0.939911111111111
"ECGFiveDays",0.995121951219512,1,0.998373983739837,1,0.999535423925668,0.999303135888502,0.999070847851336,0.995354239256678,1,0.99465737514518,0.999070847851336
