"Dataset","Mean Acc. Pairs without Catch22","Mean Acc. Pairs w Catch22","COCALITE","COCALITETime","COCALITETime-4","COCALITETime-3","COCALITETime-2","LITETime","LITE-Catch22-Time","LITE","LITE-Catch22"
"ArrowHead",0.832,0.826285714285714,0.836571428571429,0.851428571428571,0.851428571428571,0.847428571428571,0.846857142857143,0.834285714285714,0.862857142857143,0.827428567409515,0.826285707950592
"ACSF1",0.904,0.879,0.9,0.92,0.92,0.919,0.915,0.91,0.88,0.898000001907349,0.869999992847443
"Adiac",0.840153452685422,0.811253196930946,0.821483375959079,0.854219948849105,0.851150895140665,0.846803069053708,0.842966751918159,0.846547314578005,0.828644501278772,0.823529398441315,0.788235294818878
"AllGestureWiimoteX",0.775285714285714,0.752142857142857,0.765714285714286,0.787142857142857,0.782571428571429,0.779,0.777,0.787142857142857,0.77,0.755714285373688,0.734571433067322
"AllGestureWiimoteY",0.799571428571429,0.787857142857143,0.797142857142857,0.812857142857143,0.814857142857143,0.809857142857143,0.806,0.802857142857143,0.798571428571429,0.78742858171463,0.7708571434021
"AllGestureWiimoteZ",0.742,0.734571428571429,0.743142857142857,0.752857142857143,0.754571428571429,0.754428571428571,0.749428571428571,0.745714285714286,0.748571428571429,0.732000005245209,0.71114284992218
"Beef",0.713333333333333,0.713333333333333,0.726666666666667,0.766666666666667,0.733333333333333,0.73,0.73,0.733333333333333,0.666666666666667,0.726666665077209,0.693333339691162
"BeetleFly",0.82,0.695,0.74,0.75,0.73,0.75,0.75,0.85,0.7,0.85,0.689999985694885
"BirdChicken",0.79,0.9,0.85,0.9,0.9,0.9,0.88,0.9,0.9,0.8,0.899999976158142
"BME",0.985333333333333,0.993333333333333,0.989333333333333,0.993333333333333,0.993333333333333,0.993333333333333,0.992666666666667,0.986666666666667,0.993333333333333,0.984000015258789,0.993333339691162
"Car",0.943333333333333,0.915,0.933333333333333,0.916666666666667,0.926666666666666,0.935,0.938333333333333,0.95,0.933333333333333,0.939999997615814,0.899999988079071
"CBF",0.998222222222222,0.997,0.998,0.998888888888889,0.998666666666666,0.998777777777778,0.998444444444444,0.998888888888889,0.998888888888889,0.998222231864929,0.99288889169693
"Chinatown",0.983090379008746,0.981632653061224,0.98134110787172,0.982507288629738,0.982507288629738,0.982507288629738,0.982507288629738,0.982507288629738,0.982507288629738,0.980174934864044,0.979008758068085
"ChlorineConcentration",0.847395833333333,0.847526041666667,0.848958333333333,0.852864583333333,0.8525,0.851901041666667,0.850130208333333,0.852604166666667,0.8484375,0.842291665077209,0.84286458492279
"CinCECGTorso",0.799057971014493,0.859492753623188,0.84463768115942,0.883333333333333,0.881014492753623,0.878840579710145,0.871739130434782,0.872463768115942,0.873913043478261,0.710144919157028,0.841159415245056
"Coffee",1,1,1,1,1,1,1,1,1,1,1
"Computers",0.8112,0.7804,0.796,0.808,0.8024,0.8008,0.8004,0.828,0.776,0.801600003242493,0.771199989318848
"CricketX",0.830769230769231,0.797435897435897,0.812820512820513,0.825641025641026,0.826666666666667,0.826410256410256,0.827692307692308,0.851282051282051,0.81025641025641,0.824102556705475,0.783589744567871
"CricketY",0.838974358974359,0.836410256410256,0.844615384615385,0.861538461538462,0.856410256410257,0.854358974358974,0.849487179487179,0.841025641025641,0.853846153846154,0.824102556705475,0.812820518016815
"CricketZ",0.854871794871795,0.836153846153846,0.845641025641026,0.864102564102564,0.865128205128205,0.861282051282051,0.85948717948718,0.856410256410256,0.848717948717949,0.846666646003723,0.815384614467621
"Crop",0.736190476190476,0.733892857142857,0.736178571428571,0.766428571428571,0.764166666666667,0.760589285714286,0.753815476190476,0.757202380952381,0.754583333333333,0.717023813724518,0.714785718917847
"DiatomSizeReduction",0.956862745098039,0.949346405228758,0.950980392156863,0.941176470588235,0.943137254901961,0.945751633986928,0.948039215686274,0.954248366013072,0.950980392156863,0.955555534362793,0.949019598960876
"DistalPhalanxOutlineAgeGroup",0.728057553956835,0.719424460431655,0.720863309352518,0.726618705035971,0.723741007194244,0.726618705035971,0.728776978417266,0.726618705035971,0.719424460431655,0.728057551383972,0.722302174568176
